dataset,correlation,pvalue,task
Hard Coded,0.9515151515151514,2.279854920641689e-05,MMLU 0 Shot Pairwise Merge
Science,0.9030303030303028,0.00034361219776328223,MMLU 0 Shot Pairwise Merge
Code Alpaca,0.9272727272727272,0.00011203450639397582,MMLU 0 Shot Pairwise Merge
GPT4 Alpaca,0.8666666666666665,0.0011735381801554687,MMLU 0 Shot Pairwise Merge
Lima,0.9515151515151514,2.279854920641689e-05,MMLU 0 Shot Pairwise Merge
CoT,0.9361745372672995,6.718873258402915e-05,MMLU 0 Shot Pairwise Merge
Open Assistant 1,0.9636363636363635,7.320974809529922e-06,MMLU 0 Shot Pairwise Merge
WizardLM,0.8787878787878788,0.0008138621117322101,MMLU 0 Shot Pairwise Merge
Flan V2,0.9515151515151514,2.279854920641689e-05,MMLU 0 Shot Pairwise Merge
ShareGPT,0.9030303030303028,0.00034361219776328223,MMLU 0 Shot Pairwise Merge
Open Orca,0.9151515151515152,0.0002044724061488323,MMLU 0 Shot Pairwise Merge
Hard Coded,0.8303030303030302,0.0029402270232795065,TydiQA GoldP Pairwise Merge
GPT4 Alpaca,0.9030303030303028,0.00034361219776328223,TydiQA GoldP Pairwise Merge
ShareGPT,0.9030303030303028,0.00034361219776328223,TydiQA GoldP Pairwise Merge
WizardLM,0.9272727272727272,0.00011203450639397582,TydiQA GoldP Pairwise Merge
Open Assistant 1,0.9393939393939393,5.484052998513666e-05,TydiQA GoldP Pairwise Merge
Lima,0.9272727272727272,0.00011203450639397582,TydiQA GoldP Pairwise Merge
Open Orca,0.8909090909090909,0.0005421442248338665,TydiQA GoldP Pairwise Merge
Code Alpaca,0.8909090909090909,0.0005421442248338665,TydiQA GoldP Pairwise Merge
Science,0.5636363636363636,0.08972402831709125,TydiQA GoldP Pairwise Merge
Flan V2,0.6,0.06668799999999996,TydiQA GoldP Pairwise Merge
CoT,0.6727272727272726,0.0330412225454377,TydiQA GoldP Pairwise Merge
Flan V2,0.1780985590162518,0.6225334596132803,GSM Direct Pairwise Merge
Open Orca,-0.08049882825043636,0.8250454651731878,GSM Direct Pairwise Merge
Open Assistant 1,-0.23656786103324587,0.510509403859029,GSM Direct Pairwise Merge
Code Alpaca,0.2750978425847319,0.44173454324233463,GSM Direct Pairwise Merge
WizardLM,0.41257252889001383,0.23606467000053247,GSM Direct Pairwise Merge
Science,0.4906635930901078,0.14989060535219823,GSM Direct Pairwise Merge
ShareGPT,0.4922335896807895,0.14839203782605126,GSM Direct Pairwise Merge
GPT4 Alpaca,0.6929568251732515,0.02630992480982464,GSM Direct Pairwise Merge
Hard Coded,0.28834355828220865,0.41912612485177403,GSM Direct Pairwise Merge
Lima,0.5684860507501681,0.0863945458203365,GSM Direct Pairwise Merge
CoT,0.5395630988493983,0.10746132722090056,GSM Direct Pairwise Merge
Hard Coded,0.8787878787878788,0.0008138621117322101,BBH Direct Pairwise Merge
Lima,0.9151515151515152,0.0002044724061488323,BBH Direct Pairwise Merge
ShareGPT,0.9151515151515152,0.0002044724061488323,BBH Direct Pairwise Merge
Open Assistant 1,0.9757575757575757,1.4675461874042197e-06,BBH Direct Pairwise Merge
WizardLM,0.7963562622208846,0.005836997302932195,BBH Direct Pairwise Merge
Code Alpaca,0.5757575757575757,0.08155281477260236,BBH Direct Pairwise Merge
GPT4 Alpaca,0.9393939393939393,5.484052998513666e-05,BBH Direct Pairwise Merge
Science,0.6363636363636362,0.04791172612997547,BBH Direct Pairwise Merge
Open Orca,0.5151515151515151,0.12755286970323426,BBH Direct Pairwise Merge
CoT,0.395138603392042,0.25841872523187825,BBH Direct Pairwise Merge
Flan V2,0.23636363636363633,0.5108853175152002,BBH Direct Pairwise Merge
Hard Coded,0.790277206784084,0.006514223587240812,GSM CoT Pairwise Merge
Code Alpaca,0.9013032569427505,0.0003679614435190526,GSM CoT Pairwise Merge
Science,0.7652439024390244,0.009898227380702063,GSM CoT Pairwise Merge
GPT4 Alpaca,0.829268292682927,0.003008613513062222,GSM CoT Pairwise Merge
Flan V2,0.7347560975609757,0.015495322474137522,GSM CoT Pairwise Merge
Open Assistant 1,0.6074076879484503,0.06252817596740043,GSM CoT Pairwise Merge
Open Orca,0.7939393939393938,0.0060999233136969115,GSM CoT Pairwise Merge
Lima,0.40798313799873864,0.24183976302287213,GSM CoT Pairwise Merge
ShareGPT,0.430392127058811,0.2143869024492447,GSM CoT Pairwise Merge
WizardLM,-0.021406827927306797,0.9531940167889841,GSM CoT Pairwise Merge
CoT,0.7370065043544197,0.01502089363384873,GSM CoT Pairwise Merge
Hard Coded,0.6969696969696969,0.02509667588225183,MMLU 5 Shot Pairwise Merge
Lima,0.6848484848484848,0.02888279750673276,MMLU 5 Shot Pairwise Merge
Open Assistant 1,0.7696969696969697,0.009221952722215994,MMLU 5 Shot Pairwise Merge
Code Alpaca,0.8666666666666665,0.0011735381801554687,MMLU 5 Shot Pairwise Merge
WizardLM,0.6990913752320743,0.024470990757150354,MMLU 5 Shot Pairwise Merge
GPT4 Alpaca,0.9272727272727272,0.00011203450639397582,MMLU 5 Shot Pairwise Merge
Science,0.9636363636363635,7.320974809529922e-06,MMLU 5 Shot Pairwise Merge
ShareGPT,0.9757575757575757,1.4675461874042197e-06,MMLU 5 Shot Pairwise Merge
CoT,0.7696969696969697,0.009221952722215994,MMLU 5 Shot Pairwise Merge
Open Orca,0.9151515151515152,0.0002044724061488323,MMLU 5 Shot Pairwise Merge
Flan V2,0.7333333333333332,0.01580059625057158,MMLU 5 Shot Pairwise Merge
Science,0.6383008208640678,0.04702445252859799,BBH CoT Pairwise Merge
Hard Coded,0.7598819296000807,0.010758005132716318,BBH CoT Pairwise Merge
GPT4 Alpaca,0.8875420937728943,0.0006096659573243205,BBH CoT Pairwise Merge
Open Assistant 1,0.7896341463414634,0.006588982023424591,BBH CoT Pairwise Merge
WizardLM,0.7286585365853658,0.01683310504958437,BBH CoT Pairwise Merge
Code Alpaca,0.790277206784084,0.006514223587240812,BBH CoT Pairwise Merge
Lima,0.6990913752320743,0.024470990757150354,BBH CoT Pairwise Merge
CoT,0.34650615989763683,0.3266572580343008,BBH CoT Pairwise Merge
Flan V2,0.7538028741632801,0.011794786289983676,BBH CoT Pairwise Merge
Open Orca,0.7186577947024426,0.019197668993745625,BBH CoT Pairwise Merge
ShareGPT,0.42553388057604524,0.22017919518735943,BBH CoT Pairwise Merge
Open Assistant 1,0.9393939393939393,5.484052998513666e-05,Toxigen Pairwise Merge
Hard Coded,0.9393939393939393,5.484052998513666e-05,Toxigen Pairwise Merge
ShareGPT,0.8545454545454544,0.0016368033159867143,Toxigen Pairwise Merge
GPT4 Alpaca,0.8666666666666665,0.0011735381801554687,Toxigen Pairwise Merge
CoT,0.8181818181818182,0.0038149200825507135,Toxigen Pairwise Merge
WizardLM,0.8545454545454544,0.0016368033159867143,Toxigen Pairwise Merge
Lima,0.7333333333333332,0.01580059625057158,Toxigen Pairwise Merge
Code Alpaca,0.406060606060606,0.24428229408662638,Toxigen Pairwise Merge
Flan V2,0.32121212121212117,0.3654683104386702,Toxigen Pairwise Merge
Science,0.406060606060606,0.24428229408662638,Toxigen Pairwise Merge
Open Orca,0.23636363636363633,0.5108853175152002,Toxigen Pairwise Merge
Hard Coded,0.5757575757575757,0.08155281477260236,TydiQA No Context Pairwise Merge
GPT4 Alpaca,0.7333333333333332,0.01580059625057158,TydiQA No Context Pairwise Merge
ShareGPT,0.6363636363636362,0.04791172612997547,TydiQA No Context Pairwise Merge
CoT,0.32121212121212117,0.3654683104386702,TydiQA No Context Pairwise Merge
WizardLM,0.7575757575757575,0.011143446799694208,TydiQA No Context Pairwise Merge
Open Assistant 1,0.7575757575757575,0.011143446799694208,TydiQA No Context Pairwise Merge
Lima,0.7696969696969697,0.009221952722215994,TydiQA No Context Pairwise Merge
Open Orca,0.6969696969696969,0.02509667588225183,TydiQA No Context Pairwise Merge
Code Alpaca,0.5151515151515151,0.12755286970323426,TydiQA No Context Pairwise Merge
Science,0.5636363636363636,0.08972402831709125,TydiQA No Context Pairwise Merge
Flan V2,-0.33333333333333326,0.34659350708733405,TydiQA No Context Pairwise Merge
